text,label,label_name
A message to all Muslims and Refugees: I'm sorry for how my country is treating you. You are only human. #RefugeesDetained #Trump #rt,not-sarcastic,0
"I know it’s still summer, but being curled up on my couch with a pumpkin spice latte on a rainy Sunday has me feeling some type of way",not-sarcastic,0
do people with clear skin feel accomplished?? superior??? comfortable in their own skin???? what’s that like lmfao,sarcastic,1
I heard somebody unironically say Daddy God in a prayer today and akslfljsd why are Christians so cringey sometimes 😭,not-sarcastic,0
Is there anything more “Dad” than calling your dad for his social security number and him saying “I don’t know call your mother” ???,not-sarcastic,0
"If you replaced every 1 million dollars Jeff Bezos is worth for 1 dollar, he would have $200,000, which is still more wealth than is owned by millions of Americans.",not-sarcastic,0
i’m ALREADY stressed about whose pov to watch for mcc hahah,not-sarcastic,0
we love when the power goes out at 6:30 in the morning on a wednesday https://t.co/BBIQ7ZYS3x,sarcastic,1
GET YOUR VACCINES WHEN YOU CAN PEOPLE https://t.co/32UHMI4WJj,not-sarcastic,0
Time for my daily scroll through the target app to feel something,not-sarcastic,0
"Tonight @ dinner I sat by &amp; chatted w/ the former chancellor of Ole Miss, a former Miss MS, &amp; the owner of the Miss America pageant

Casual.",sarcastic,1
"@wfcouncil Hi there, I'm told by the staff at fellowship square on this hot day that there is no cold water provision to full up reusable bottles unless I want to fill up ""from the toilet"" , is that actually my only option?",not-sarcastic,0
"I have so many games, and no time to play them. :( #momproblems",not-sarcastic,0
Mask mandate was lifted Saturday but over 3/4ths of the people in Walmart are actually still wearing one. I'm thoroughly impressed.,not-sarcastic,0
"and even though all the bullshit, by GOD am I thankful I am a woman.",not-sarcastic,0
"i asked my swimmer @ the end of his swim lesson today what his favorite part was &amp; he said “going under the rope. it was scary, but i knew i could do hard things.” 🥺🤍",not-sarcastic,0
"No commentary audio channel on @NBCSportsApp for the #Michigan #NotreDame game, just background and field noise. What's the problem?",not-sarcastic,0
"Follow us at @CCFJacksonville for updates on the @WOKVNews Care-A-Thon today! Listen in for interviews with Jaguars, families and more! 😁",not-sarcastic,0
"Completed it ✅💚

_
Jurassic Coast Macmillan Mighty Hike was tough, but so rewarding! Up at 5am &amp; home by 10pm 😳 BUT views to die for, the BEST team ever, Jake completing it in his sliders which is a whole other… https://t.co/kxNSLTd60g",not-sarcastic,0
"Once you give a give a charlatan power over you, you almost never get it back -Carl Sagan-
#BrexitShambles",not-sarcastic,0
As for the fans who walked out when pompey scored in extra time... You're morons. Don't come to a match like this if you're not in it for the long haul. Absolutely pathetic.,not-sarcastic,0
I’ve been laid off !! Nice:)),sarcastic,1
stephon!  wish bill hader never left.  #SNL,not-sarcastic,0
Poor Steve Clifford. Next hire has to be right to get us from A to B.  #Magic,not-sarcastic,0
"ok i can’t take this anymore, i’m gonna sit my ass down and watch this film, if it’s shit i stg i’m suing the internet for lying to me",not-sarcastic,0
"Well done @WestHam and @premierleague, great leadership! https://t.co/4IPXaK0Jpu",not-sarcastic,0
good evening sharks. hooters but for feet.,sarcastic,1
Hi 👋🏻,not-sarcastic,0
also that jacket he wore yesterday i’m gonna rip my eyes out :/,sarcastic,1
Please PLEASE do not flirt with your delivery drivers. Literally the WORST,not-sarcastic,0
Saw @Harry_Styles in Hampstead today. What a fine young specimen of a man. My lord. Handsome. 💚☘️,not-sarcastic,0
"Blatantly obvious that Lionel Messi is now set for a move to Leeds.

The Newell’s old boys network.",sarcastic,1
"I'm so glad the clocks just went back, I have this whole extra hour of insomnia to play with.",sarcastic,1
How is it possible that Sly Stallone’s ‘Cobra’ is both the best and the worst movie ever made?,sarcastic,1
"Dear @krispykremeUK,

I see your enticing #Thanksgiving offer that ends on 2 Dec.

I wanted to ask if you're aware that #Chanukah starts on 10 Dec, continues for 8 days &amp; that traditional Chanukah fare is actually #DOUGHNUTS ?? 🍩🍩

#justsaying #AskingForAFriend  #opportunity",sarcastic,1
Discover more of Maranda Ridgway's greeting cards created for @thortful. https://t.co/yE0xkrmycK - thinking of sending a #greetingscard for #Easter?,not-sarcastic,0
"Ya know, I missed a lot of things during Covid, but movie theater popcorn might top the list.",not-sarcastic,0
getting stopped by tesco security is the highlight of my day,sarcastic,1
I forgot my keys omds I had to message my brother on roblox to open the door,not-sarcastic,0
its too many bugs,not-sarcastic,0
overly caffeinated and under prepared for the day,not-sarcastic,0
hot take but the taylor swift cardigan looks like something from Justice,not-sarcastic,0
Thoroughly enjoyed my first TeachMeet! Would definitely recommend it. It's like a teacher version of #TEDTalks @TeachMeetLeics,not-sarcastic,0
Love it when someone buys a £175 coffee machine in Paris with my debit card 😕,sarcastic,1
@ChasetownFC1954 Evesham and Bedworth were presumably ticket priority games for Cup matches. I remember leaving the one in December after half an hour because I had to be somewhere else,not-sarcastic,0
"When I finally die, just please don't let it end with one of those shitty pop covers that Disney plays over the credits",not-sarcastic,0
@kristenritch YES I love sandwich and enneagram,not-sarcastic,0
@OfficialDHCL @Azhar_ullah @Moorlandscc @kirkburtoncc what do you expect when pros are playing against village green players he should be able to do that every week against players many many levels below a pro player its no different from a pro footballer playing sunday pub league,not-sarcastic,0
"Serious question: if I nick a car and elope to Gretna Green to shut my family up, how long will I do in prison? Can I finish my PhD there? Think I've got a plan, lads...",sarcastic,1
Idk how to explain it but watching snap videos takes energy,not-sarcastic,0
quackity stream is making me so genuinely happy rn,not-sarcastic,0
@mikk2k2 @ArgoBlockchain All/any updates are fully appreciated Mike. Many thanks,not-sarcastic,0
i’d like to share that i am the happiest i’ve been in a very long time,not-sarcastic,0
"@ChasetownFC1954 Don't get to as many games as I'd like, but always pick up a programme when available.",not-sarcastic,0
I need every app to have a night mode,not-sarcastic,0
HELMET CAM 😍😍😍😍#BelgianGP #SkyF1,not-sarcastic,0
